filter,filter_label,d_p_mm,porosity,thickness_mm,U_mps,Cp_holes,top,Darcy_d_1pm2,Forch_f_1pm,Q_filter_Lpm,Q_top_Lpm,Q_holes_Lpm,V_face_mps,dp_filter_Pa,q_Pa,residence_ms,Re_particle
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,9.83358922033703,-55.47896694629785,65.31255616663488,0.1805149172724124,1.844446175757449,9.6,22.435818940593172,47.87135927666185
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.6,capped,31121399.176954735,5281.207133058984,18.357333743475532,0.0,18.35733374347555,0.3369850527406895,4.946937336809569,9.6,12.018337214251696,89.36620183178506
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-6.657185049817858,-68.27094962980594,61.613764579988356,-0.12220575637323847,-1.0454461776091089,21.599999999999998,inf,32.408156386273184
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.1,capped,31121399.176954735,5281.207133058984,9.952118379531914,0.0,9.952118379531912,0.1826907536722269,1.8780144653199164,21.599999999999998,22.16860962359526,48.44837666445797
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,5.696424744364354,-74.04842427045946,79.74484901482383,0.1045691068069865,0.8419728735888982,21.599999999999998,38.73036811412651,27.73103384936659
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.3,capped,31121399.176954735,5281.207133058984,19.689750365130422,0.0,19.68975036513043,0.36144418671925693,5.558118339647666,21.599999999999998,11.205049489828259,95.85260200289687
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,16.117890473541802,-82.8217211915704,98.93961166511218,0.29587565641037455,3.9965733636055734,21.599999999999998,13.68818255998296,78.4642624734695
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.6,capped,31121399.176954735,5281.207133058984,29.398498232574564,0.0,29.3984982325761,0.539667394831902,11.041697715304306,21.599999999999998,7.504622363301218,143.1162152040403
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-0.2221910969923521,-11.161223584930639,10.93903248793893,-0.004078755639832017,-0.04230482081875864,0.6,inf,1.0816589542095956
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.1,capped,31121399.176954735,5281.207133058984,0.2972558561083822,0.0,0.2972558561774899,0.005456717285197484,0.057025897837998475,0.6,1484.4089544409762,1.4470852469032
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,0.192720900534144,-12.541875793162864,12.734596693697009,0.0035377720827140147,0.03658458185223002,0.6,2289.5765500489947,0.9381937014932193
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.3,capped,31121399.176954735,5281.207133058984,0.8435521430230201,0.0,0.8435521430246694,0.015485062666421578,0.17068524827859488,0.6,523.0847413723652,4.106535955736109
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,0.7625251096698368,-14.34023065214572,15.102755761815555,0.013997651722680981,0.1531026252038756,0.6,578.6684910066186,3.7120844347441277
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.6,capped,31121399.176954735,5281.207133058984,1.5734424764790211,0.0,1.5734424765244612,0.028883638731532806,0.3404453559724722,0.6,280.43558068592927,7.659749497865053
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,2,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-0.7933166263535583,-22.41002149999985,21.616704873646604,-0.01456289071754959,-0.15975456150304293,2.4,inf,3.8619820687424324
